run_utc,case_id,tif,crs,pixel_area_m2,rows,cols,n_valid_pixels,n_positive_pixels,footprint_area_km2,integrated_total_kg_valid,integrated_total_tonnes_valid,integrated_total_kg_positive_only,integrated_total_tonnes_positive_only,positive_min_kg,positive_max_kg,positive_mean_kg,positive_median_kg,histogram_png,map_png
2026-04-21T16:33:32.024046+00:00,case1_smoke,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy1\massno2-eaton-clipped.tif,EPSG:32611,10357338.540877063,6,6,36,27,372.86418747157427,6456.970964670181,6.456970964670181,6456.970964670181,6.456970964670181,3.542048215866089,719.84912109375,239.14707276556226,173.62060546875,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy1\massno2-eaton-clipped_histogram_positive.png,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy1\massno2-eaton-clipped_map.png
2026-04-21T16:45:11.426153+00:00,case1_smoke,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy1\massno2-eaton-clipped.tif,EPSG:32611,10357338.594516736,3,3,9,9,93.21604735065063,3593.736826658249,3.593736826658249,3593.736826658249,3.593736826658249,3.542048215866089,719.84912109375,399.30409185091656,419.17156982421875,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy1\massno2-eaton-clipped_histogram_positive.png,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy1\massno2-eaton-clipped_map.png
2026-04-21T17:44:48.705943+00:00,case2_plant,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy2\massno2-plant-clipped.tif,EPSG:32611,10358712.199990178,3,3,7,3,72.51098539993124,-22.13748264312744,-0.02213748264312744,42.02712440490723,0.042027124404907225,7.966726303100586,17.03019905090332,14.009041468302408,17.03019905090332,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy2\massno2-plant-clipped_histogram_positive.png,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy2\massno2-plant-clipped_map.png
2026-04-21T17:50:09.066892+00:00,case3_city,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy3\massno2-city-clipped.tif,EPSG:32611,10358730.65578016,3,3,7,3,72.51111459046112,-37.3800573348999,-0.0373800573348999,39.98533535003662,0.03998533535003662,12.64417552947998,13.67057991027832,13.328445116678873,13.67057991027832,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy3\massno2-city-clipped_histogram_positive.png,C:\Users\aeaturu\Desktop\WORK April 2026\eaton-2\casestudy3\massno2-city-clipped_map.png
