case_id,narrative,study_box_km2,clipped_footprint_km2,integrated_tonnes_valid,integrated_tonnes_positive_only,n_valid_pixels,n_positive_pixels,positive_min_kg,positive_max_kg,positive_median_kg,granule_file,time_start_utc,status
case1_smoke,Smoke / Eaton plume enhancement,93.216047013,93.21604735065063,3.593736826658249,3.593736826658249,9,9,3.542048215866089,719.84912109375,419.17156982421875,TEMPO_NO2_L2_V03_20250109T184504Z_S008G09.nc,2025-01-09T18:45:04Z,complete
case2_plant,Power plant (SoCal / near LA),93.216047013,72.51098539993124,-0.02213748264312744,0.042027124404907225,7,3,7.966726303100586,17.03019905090332,17.03019905090332,TEMPO_NO2_L2_V03_20250723T210939Z_S012G09.nc,2025-07-23T21:09:39Z,complete
case3_city,Dense urban (e.g. LA core),93.216047013,72.51111459046112,-0.0373800573348999,0.03998533535003662,7,3,12.64417552947998,13.67057991027832,13.67057991027832,TEMPO_NO2_L2_V03_20250723T210939Z_S012G09.nc,2025-07-23T21:09:39Z,complete
